train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.406851,0.232862,0.905626,0.742916
0.62545,0.317183,0.9536,0.800962
0.719108,0.365188,0.968875,0.833805
0.807013,0.393768,0.981607,0.84905
0.851814,0.437435,0.986111,0.872799
0.880569,0.45369,0.989667,0.885475
0.895616,0.458808,0.991825,0.894083
0.915874,0.470598,0.993642,0.898723
0.927317,0.492181,0.994503,0.903982
0.948493,0.506573,0.996131,0.909026
0.960397,0.525251,0.996997,0.913659
0.971265,0.540669,0.997926,0.918836
0.978986,0.557935,0.998431,0.921502
0.983108,0.569981,0.998759,0.923735
0.987917,0.581647,0.999053,0.925537
0.990958,0.589037,0.999262,0.926772
0.993181,0.594625,0.99944,0.928258
0.995146,0.597503,0.999592,0.928782
0.99608,0.603291,0.999668,0.929894
0.996999,0.60919,0.999758,0.931859
0.997617,0.615478,0.999815,0.932232
0.998135,0.620978,0.999856,0.932339
0.998562,0.626744,0.999892,0.933168
0.998918,0.631372,0.999919,0.935624
0.999163,0.634641,0.999939,0.935607
0.999371,0.638513,0.999954,0.938135
0.999497,0.644909,0.999965,0.94066
0.999613,0.646748,0.999974,0.941209
0.999689,0.64984,0.99998,0.942149
0.999744,0.651918,0.999984,0.942403
0.999822,0.656101,0.999989,0.943077
0.999879,0.655263,0.999992,0.943028
0.999924,0.656532,0.999995,0.943156
0.999947,0.660428,0.999996,0.943918
0.999967,0.662148,0.999998,0.943703
0.999974,0.664305,0.999998,0.943917
0.999984,0.667607,0.999999,0.944652
0.99999,0.669484,0.999999,0.944958
0.999993,0.6716,0.999999,0.946184
0.999994,0.674203,1.0,0.946811
0.999997,0.675837,1.0,0.946713
0.999998,0.678064,1.0,0.94695
0.999999,0.680038,1.0,0.947092
0.999999,0.68175,1.0,0.947351
1.0,0.683875,1.0,0.948227
1.0,0.68656,1.0,0.948815
1.0,0.688326,1.0,0.949187
1.0,0.69061,1.0,0.949847
1.0,0.693375,1.0,0.950368
1.0,0.695436,1.0,0.950601
1.0,0.696133,1.0,0.9509
1.0,0.697619,1.0,0.951048
1.0,0.698462,1.0,0.951171
1.0,0.700128,1.0,0.951525
1.0,0.701319,1.0,0.951915
1.0,0.700906,1.0,0.951654
1.0,0.702531,1.0,0.952009
1.0,0.704097,1.0,0.952111
1.0,0.705403,1.0,0.952451
1.0,0.706438,1.0,0.952646
1.0,0.706955,1.0,0.952662
1.0,0.707799,1.0,0.952991
1.0,0.708933,1.0,0.953408
1.0,0.710049,1.0,0.953865
1.0,0.710009,1.0,0.953659
1.0,0.711133,1.0,0.953923
1.0,0.711796,1.0,0.954388
1.0,0.712238,1.0,0.954444
1.0,0.712712,1.0,0.954571
1.0,0.712651,1.0,0.954338
1.0,0.713128,1.0,0.954671
1.0,0.713469,1.0,0.954957
1.0,0.714221,1.0,0.954989
1.0,0.715706,1.0,0.955444
1.0,0.71581,1.0,0.955425
1.0,0.715758,1.0,0.955264
1.0,0.717232,1.0,0.955702
1.0,0.717135,1.0,0.955622
1.0,0.717924,1.0,0.955935
1.0,0.717797,1.0,0.955843
1.0,0.718823,1.0,0.95611
1.0,0.719432,1.0,0.956236
1.0,0.720581,1.0,0.956407
1.0,0.720895,1.0,0.956421
1.0,0.721894,1.0,0.956572
1.0,0.72295,1.0,0.956765
1.0,0.722909,1.0,0.95682
1.0,0.723392,1.0,0.956861
1.0,0.723754,1.0,0.956895
1.0,0.723917,1.0,0.95703
1.0,0.724047,1.0,0.957033
1.0,0.724466,1.0,0.957322
1.0,0.72535,1.0,0.957413
1.0,0.725797,1.0,0.957491
1.0,0.726211,1.0,0.957778
1.0,0.727066,1.0,0.957857
1.0,0.727722,1.0,0.957854
1.0,0.728197,1.0,0.957989
1.0,0.729334,1.0,0.958274
1.0,0.729715,1.0,0.958388
1.0,0.729803,1.0,0.958426
1.0,0.73015,1.0,0.958551
1.0,0.730044,1.0,0.958497
1.0,0.730171,1.0,0.958638
1.0,0.730852,1.0,0.958712
1.0,0.731321,1.0,0.95892
1.0,0.731613,1.0,0.958885
1.0,0.731765,1.0,0.958887
1.0,0.732005,1.0,0.959121
1.0,0.732717,1.0,0.959212
1.0,0.732967,1.0,0.959245
1.0,0.733049,1.0,0.959347
1.0,0.733179,1.0,0.959381
1.0,0.733446,1.0,0.959544
1.0,0.733809,1.0,0.959608
1.0,0.734238,1.0,0.95984
1.0,0.734579,1.0,0.959907
1.0,0.735007,1.0,0.959944
1.0,0.735481,1.0,0.959974
1.0,0.735483,1.0,0.959902
1.0,0.736163,1.0,0.960047
1.0,0.7364,1.0,0.960151
1.0,0.736591,1.0,0.960295
1.0,0.737128,1.0,0.960343
1.0,0.737444,1.0,0.960345
1.0,0.737435,1.0,0.960234
1.0,0.737736,1.0,0.960327
1.0,0.738294,1.0,0.960342
1.0,0.738368,1.0,0.960413
1.0,0.73865,1.0,0.960457
1.0,0.738687,1.0,0.960499
1.0,0.738849,1.0,0.960537
1.0,0.739355,1.0,0.960717
1.0,0.740028,1.0,0.960759
1.0,0.740697,1.0,0.96092
1.0,0.740801,1.0,0.960875
1.0,0.740834,1.0,0.960846
1.0,0.740836,1.0,0.960895
1.0,0.740909,1.0,0.961011
1.0,0.74091,1.0,0.961073
1.0,0.740879,1.0,0.961024
1.0,0.741214,1.0,0.961151
1.0,0.741969,1.0,0.961357
1.0,0.742278,1.0,0.961478
1.0,0.742673,1.0,0.961524
1.0,0.743083,1.0,0.961649
1.0,0.74372,1.0,0.961712
1.0,0.743733,1.0,0.961709
1.0,0.744133,1.0,0.961701
1.0,0.744165,1.0,0.961719
1.0,0.744478,1.0,0.961644
1.0,0.744505,1.0,0.961612
1.0,0.744705,1.0,0.961702
1.0,0.744857,1.0,0.961803
1.0,0.744847,1.0,0.961745
1.0,0.744948,1.0,0.96173
1.0,0.74497,1.0,0.961703
1.0,0.744942,1.0,0.961663
1.0,0.745147,1.0,0.961733
1.0,0.745461,1.0,0.9617
1.0,0.74568,1.0,0.961659
1.0,0.745866,1.0,0.961739
1.0,0.746068,1.0,0.961744
1.0,0.746576,1.0,0.96175
1.0,0.746825,1.0,0.961767
1.0,0.74684,1.0,0.961784
1.0,0.746807,1.0,0.961792
1.0,0.746702,1.0,0.961738
1.0,0.746816,1.0,0.961714
1.0,0.747044,1.0,0.961695
1.0,0.747009,1.0,0.961763
1.0,0.746907,1.0,0.961797
1.0,0.747032,1.0,0.961704
1.0,0.747471,1.0,0.961762
1.0,0.747444,1.0,0.961857
1.0,0.747467,1.0,0.9619
1.0,0.747667,1.0,0.961858
1.0,0.74794,1.0,0.961919
1.0,0.748441,1.0,0.962027
1.0,0.748606,1.0,0.962035
1.0,0.748886,1.0,0.962017
1.0,0.748978,1.0,0.962046
1.0,0.749156,1.0,0.962043
1.0,0.749008,1.0,0.962025
1.0,0.749218,1.0,0.962089
1.0,0.749393,1.0,0.962187
1.0,0.749792,1.0,0.962228
1.0,0.749944,1.0,0.962286
1.0,0.750008,1.0,0.962216
1.0,0.749992,1.0,0.962254
1.0,0.750281,1.0,0.962252
1.0,0.750676,1.0,0.962328
1.0,0.75076,1.0,0.962334
1.0,0.750847,1.0,0.962406
1.0,0.7508,1.0,0.962404
1.0,0.750965,1.0,0.962468
1.0,0.751198,1.0,0.962491
1.0,0.751403,1.0,0.962491
1.0,0.751403,1.0,0.962385
1.0,0.751478,1.0,0.962334
1.0,0.751598,1.0,0.962348
1.0,0.751873,1.0,0.962383
1.0,0.751652,1.0,0.962364
1.0,0.751859,1.0,0.962421
1.0,0.751908,1.0,0.96243
1.0,0.751702,1.0,0.962415
1.0,0.75206,1.0,0.962416
1.0,0.752041,1.0,0.962442
1.0,0.752364,1.0,0.962548
1.0,0.752325,1.0,0.962585
1.0,0.752434,1.0,0.962633
1.0,0.752755,1.0,0.962722
1.0,0.752949,1.0,0.962738
1.0,0.753035,1.0,0.962658
1.0,0.753338,1.0,0.962708
1.0,0.75351,1.0,0.962765
1.0,0.753516,1.0,0.962754
1.0,0.75359,1.0,0.962806
1.0,0.753537,1.0,0.962891
1.0,0.753642,1.0,0.962875
1.0,0.753968,1.0,0.962925
1.0,0.7538,1.0,0.962943
1.0,0.753817,1.0,0.962959
1.0,0.753922,1.0,0.962963
1.0,0.753983,1.0,0.962947
1.0,0.754068,1.0,0.962966
1.0,0.753828,1.0,0.962988
1.0,0.753839,1.0,0.962986
1.0,0.753677,1.0,0.962943
1.0,0.753784,1.0,0.962949
1.0,0.753977,1.0,0.963024
1.0,0.754114,1.0,0.963093
1.0,0.754208,1.0,0.963127
1.0,0.754312,1.0,0.963119
1.0,0.75439,1.0,0.96308
1.0,0.754599,1.0,0.963061
1.0,0.754345,1.0,0.963029
1.0,0.754224,1.0,0.963002
1.0,0.754275,1.0,0.963013
1.0,0.754294,1.0,0.963035
1.0,0.754297,1.0,0.963096
1.0,0.754277,1.0,0.963031
1.0,0.7542,1.0,0.963003
1.0,0.754233,1.0,0.963044
1.0,0.754379,1.0,0.96306
1.0,0.754354,1.0,0.963093
1.0,0.754522,1.0,0.963118
1.0,0.754354,1.0,0.963062
1.0,0.754416,1.0,0.963001
1.0,0.754677,1.0,0.963077
1.0,0.754837,1.0,0.963093
1.0,0.754903,1.0,0.963055
1.0,0.755097,1.0,0.963094
1.0,0.755055,1.0,0.963052
1.0,0.755342,1.0,0.963132
1.0,0.755372,1.0,0.963113
1.0,0.755492,1.0,0.963135
1.0,0.755454,1.0,0.963183
1.0,0.755527,1.0,0.963154
1.0,0.75565,1.0,0.963125
1.0,0.75571,1.0,0.963096
1.0,0.755873,1.0,0.963088
1.0,0.756162,1.0,0.963089
1.0,0.756438,1.0,0.963098
1.0,0.756439,1.0,0.963104
1.0,0.756454,1.0,0.963069
1.0,0.756341,1.0,0.963044
1.0,0.756675,1.0,0.963164
1.0,0.756974,1.0,0.963257
1.0,0.757103,1.0,0.963264
1.0,0.757356,1.0,0.963267
1.0,0.757308,1.0,0.963189
1.0,0.757237,1.0,0.963148
1.0,0.757493,1.0,0.963163
1.0,0.757379,1.0,0.963165
1.0,0.757513,1.0,0.963193
1.0,0.75762,1.0,0.963194
1.0,0.757619,1.0,0.963216
1.0,0.757432,1.0,0.963192
1.0,0.757181,1.0,0.963127
1.0,0.757174,1.0,0.963111
1.0,0.757305,1.0,0.963129
1.0,0.757245,1.0,0.963119
1.0,0.757322,1.0,0.963122
1.0,0.757539,1.0,0.963162
1.0,0.757606,1.0,0.963278
1.0,0.757671,1.0,0.96332
1.0,0.757565,1.0,0.963289
1.0,0.757612,1.0,0.963315
1.0,0.757865,1.0,0.963331
1.0,0.757874,1.0,0.963366
1.0,0.75787,1.0,0.963345
1.0,0.757864,1.0,0.963405
1.0,0.75785,1.0,0.963445
1.0,0.75797,1.0,0.963438
1.0,0.75786,1.0,0.963462
1.0,0.757938,1.0,0.963471
1.0,0.758001,1.0,0.96348
1.0,0.758357,1.0,0.963542
1.0,0.758338,1.0,0.963547
1.0,0.758519,1.0,0.963617
1.0,0.758587,1.0,0.963624
1.0,0.758663,1.0,0.96367
1.0,0.75878,1.0,0.96361
1.0,0.758755,1.0,0.963619
1.0,0.758829,1.0,0.963627
1.0,0.75882,1.0,0.96363
1.0,0.758721,1.0,0.963664
1.0,0.758861,1.0,0.963641
1.0,0.758954,1.0,0.96359
1.0,0.75896,1.0,0.963606
1.0,0.75908,1.0,0.963642
1.0,0.759097,1.0,0.963576
1.0,0.759189,1.0,0.963608
1.0,0.759085,1.0,0.963514
1.0,0.759217,1.0,0.963567
1.0,0.759259,1.0,0.963505
1.0,0.759252,1.0,0.963511
1.0,0.759304,1.0,0.963507
1.0,0.759254,1.0,0.963398
1.0,0.759351,1.0,0.963386
1.0,0.759454,1.0,0.963353
1.0,0.759534,1.0,0.963363
1.0,0.759605,1.0,0.963315
1.0,0.759728,1.0,0.963345
1.0,0.75952,1.0,0.963276
1.0,0.759647,1.0,0.963275
1.0,0.759688,1.0,0.963304
1.0,0.759562,1.0,0.963275
1.0,0.759525,1.0,0.963254
1.0,0.759241,1.0,0.963191
1.0,0.759242,1.0,0.96323
1.0,0.759392,1.0,0.963239
1.0,0.759599,1.0,0.963233
1.0,0.759667,1.0,0.963242
1.0,0.759687,1.0,0.963218
1.0,0.759759,1.0,0.963252
1.0,0.759796,1.0,0.963282
1.0,0.760081,1.0,0.963315
1.0,0.760017,1.0,0.963335
1.0,0.760273,1.0,0.963386
1.0,0.760252,1.0,0.963377
1.0,0.760085,1.0,0.963303
1.0,0.76027,1.0,0.963337
1.0,0.760409,1.0,0.963353
1.0,0.760406,1.0,0.963343
1.0,0.760513,1.0,0.963332
1.0,0.76028,1.0,0.963356
1.0,0.760336,1.0,0.963321
1.0,0.760363,1.0,0.963314
1.0,0.760436,1.0,0.963333
1.0,0.760639,1.0,0.963335
1.0,0.760542,1.0,0.963328
1.0,0.76054,1.0,0.963309
1.0,0.760643,1.0,0.96332
1.0,0.760745,1.0,0.963319
1.0,0.760825,1.0,0.963339
1.0,0.76093,1.0,0.96331
1.0,0.761165,1.0,0.963318
1.0,0.760989,1.0,0.963272
1.0,0.761225,1.0,0.963266
1.0,0.761342,1.0,0.963331
1.0,0.761501,1.0,0.96337
1.0,0.761436,1.0,0.963374
1.0,0.761657,1.0,0.963372
1.0,0.761744,1.0,0.963419
1.0,0.761935,1.0,0.963424
1.0,0.761869,1.0,0.963435
1.0,0.761905,1.0,0.963439
1.0,0.762094,1.0,0.963484
1.0,0.7623,1.0,0.963479
1.0,0.76247,1.0,0.963512
1.0,0.762428,1.0,0.963524
1.0,0.762449,1.0,0.963497
1.0,0.762648,1.0,0.96349
1.0,0.762659,1.0,0.963469
1.0,0.76293,1.0,0.963521
1.0,0.7629,1.0,0.963541
1.0,0.762932,1.0,0.963588
1.0,0.762833,1.0,0.9636
1.0,0.76304,1.0,0.963609
1.0,0.762867,1.0,0.963563
1.0,0.762926,1.0,0.963573
1.0,0.762893,1.0,0.963549
1.0,0.762832,1.0,0.963545
1.0,0.762782,1.0,0.96352
1.0,0.762638,1.0,0.963491
1.0,0.762735,1.0,0.963481
1.0,0.762682,1.0,0.963444
1.0,0.762776,1.0,0.963459
1.0,0.762873,1.0,0.963454
1.0,0.762956,1.0,0.963484
1.0,0.762969,1.0,0.963505
1.0,0.763007,1.0,0.963553
1.0,0.762975,1.0,0.963519
1.0,0.76298,1.0,0.963492
1.0,0.762919,1.0,0.963481
1.0,0.762831,1.0,0.963452
1.0,0.762761,1.0,0.963449
1.0,0.762797,1.0,0.963467
1.0,0.762861,1.0,0.963477
1.0,0.762826,1.0,0.963478
1.0,0.762994,1.0,0.963458
